usuario,pelicula1,pelicula2,pelicula3,pelicula4,pelicula5,pelicula6,pelicula7,pelicula8,pelicula9,pelicula10
User1,60,48,18,53,60,41,5,27,75,83
User2,83,6,92,65,99,84,84,21,13,40
User3,15,40,13,66,31,21,59,51,31,83
User4,8,69,67,34,5,26,31,17,5,46
User5,57,83,12,71,74,12,94,68,53,59
User6,91,47,100,93,38,57,99,18,52,71
User7,7,85,44,98,40,22,23,36,4,84
User8,12,34,53,74,99,78,6,22,57,89
User9,97,3,63,25,76,37,68,72,34,34
User10,54,96,76,87,54,8,16,38,20,100
User11,5,71,35,70,61,80,47,77,7,35
User12,95,4,83,46,11,54,97,93,7,45
User13,49,22,54,4,52,52,83,87,5,98
User14,38,68,92,17,52,39,81,16,59,46
User15,5,75,84,24,88,98,79,7,58,27
User16,6,63,40,59,98,60,51,2,76,66
User17,15,80,87,94,15,78,35,58,56,30
User18,56,12,82,18,83,11,20,6,21,26
User19,68,31,99,7,17,17,81,75,90,11
User20,8,79,22,27,44,48,32,90,83,47
User21,92,96,60,64,13,71,4,82,6,63
User22,19,84,75,34,63,38,15,43,6,97
User23,48,64,33,57,97,57,80,73,2,43
User24,73,63,19,15,45,34,88,66,33,31
User25,94,82,10,3,76,82,74,37,43,74
User26,90,56,73,9,71,36,1,72,1,28
User27,13,66,84,56,60,70,48,40,3,15
User28,38,48,9,67,46,49,56,40,22,29
User29,89,80,60,83,36,20,32,10,9,31
User30,88,87,85,51,16,40,81,94,88,98
User31,13,80,82,28,55,13,63,88,88,12
User32,82,55,20,91,49,42,57,62,78,33
User33,75,15,18,48,75,4,34,82,27,80
User34,2,4,9,76,32,42,36,34,69,7
User35,55,42,69,79,91,12,59,50,98,41
User36,13,59,72,58,99,26,79,6,70,86
User37,35,3,89,67,12,57,35,4,23,100
User38,77,93,69,24,56,26,39,86,70,20
User39,28,45,99,7,66,84,84,28,31,46
User40,64,10,48,41,43,49,44,91,59,10
User41,81,77,56,74,15,68,88,26,56,92
User42,96,57,53,89,15,88,34,80,75,13
User43,53,73,70,55,84,80,41,10,15,55
User44,15,58,52,74,41,87,60,35,50,46
User45,54,1,42,61,42,5,75,68,78,56
